"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","0.1uf","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C3","1","100UF TANT","","","","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_HandSolder","https://datasheets.kyocera-avx.com/TAJ.pdf"
"C4,C5,C6,C7,C8,C9,C10,C11,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50","35","0.1uF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"D1","1","BAT20J","","","","Diode_SMD:D_SOD-323_HandSoldering","https://www.vishay.com/docs/85514/bat86s.pdf"
"D2","1","SMAJ6.0A","","","","Diode_SMD:D_SMA","https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf"
"D3,D4","2","PESD5V0L2U","","","","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.st.com/resource/en/datasheet/esdal.pdf"
"DBOPT1,OP1,SBC1,SBC2,SBC3","5","AES-Option_A-B_2mm","","","","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical",""
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","Conn 1x04 0.1"" Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J2,J11","2","JST-PH-K B6B","","","","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","https://learn.adafruit.com/adafruit-spi-flash-sd-card/pinouts,~"
"J3","1","Conn 1x02 0.1"" pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J4","1","Conn 1x03 0.1"" pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J5,J6","2","Conn 1x08 0.1"" pin","DNP","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J7,J9","2","Conn 2x04 0.1"" pin","","","","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"J8","1","Conn 2x02 0.1"" pin","","","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~"
